Cidade,Data,Precipitação,Pressão Atmosférica ao nível da estação,Pressão Atmosférica máxima,Pressão Atmosférica mínima,Radiação Global,Temperatura do ar - bulbo seco,Temperatura do ponto de orvalho,Temperatura máxima,Temperatura mínima,Temperatura orvalho máxima,Temperatura orvalho mínima,Umidade Relativa máxima,Umidade Relativa mínima,Umidade Relativa do Ar,Direção Horária do Vento,Rajada Máxima de Vento,Velocidade Horária do Vento
Dom Eliseu,2019-08-18 00:00:00+00:00,0.0,984.1136904761902,984.3809523809522,983.8494047619045,1568.2511111111103,26.492261904761904,19.444736842105268,27.295238095238098,25.765476190476182,19.912987012987013,18.963636363636382,71.48407643312102,64.68789808917198,68.69736842105263,107.01785714285714,5.1273809523809515,2.2464285714285723
Dom Eliseu,2019-08-25 00:00:00+00:00,0.005952380952380952,984.9928571428572,985.2601190476189,984.7297619047623,1239.283333333333,25.907738095238095,20.520858895705516,26.611904761904764,25.20773809523811,20.905555555555544,20.07530864197531,78.0060975609756,71.59756097560975,75.01840490797547,86.75,4.594047619047617,1.9625000000000004
Dom Eliseu,2019-09-01 00:00:00+00:00,0.0,983.8428571428575,984.1244047619049,983.5750000000002,1304.7166666666662,26.402976190476185,20.13333333333334,27.135714285714283,25.678571428571416,20.519047619047623,19.723214285714285,74.27380952380952,68.07738095238095,71.47272727272727,90.29166666666667,4.811904761904763,2.1148809523809513
Dom Eliseu,2019-09-08 00:00:00+00:00,0.0,983.8029761904754,984.073809523809,983.519047619047,1395.1827586206891,26.83095238095238,20.678181818181823,27.548809523809517,26.176190476190474,21.0109090909091,20.29636363636364,74.1556886227545,68.41916167664671,71.5939393939394,74.21428571428571,5.047619047619048,2.2291666666666674
Dom Eliseu,2019-09-15 00:00:00+00:00,0.0011904761904761906,982.9517857142862,983.2416666666666,982.683333333334,1396.6659090909093,27.238690476190484,20.56084337349399,27.992261904761925,26.605952380952377,20.938095238095247,20.134523809523824,72.22619047619048,66.06547619047619,69.58433734939759,68.54166666666667,5.179166666666668,2.235714285714286
Dom Eliseu,2019-09-22 00:00:00+00:00,0.0,981.5464285714285,981.8172619047621,981.2726190476186,1563.3476190476192,27.686904761904753,20.682424242424243,28.37321428571428,27.032142857142865,21.00238095238095,20.289285714285707,70.61904761904762,65.05357142857143,68.15757575757576,73.49404761904762,5.562499999999999,2.4154761904761903
Dom Eliseu,2019-09-29 00:00:00+00:00,0.002380952380952381,983.3071428571423,983.5815476190473,983.0172619047619,1530.3341176470587,27.362499999999994,20.94876543209877,28.040476190476188,26.74583333333333,21.29024390243903,20.544512195121943,72.76363636363637,67.2060606060606,70.48148148148148,77.19642857142857,5.276190476190474,2.210119047619048
Dom Eliseu,2019-10-06 00:00:00+00:00,0.07738095238095238,981.6547619047617,981.9428571428571,981.3666666666666,1215.5310344827587,26.138095238095225,21.161818181818184,26.785119047619045,25.505952380952376,21.53674698795181,20.71084337349398,78.80838323353294,72.67664670658682,76.02424242424243,110.27380952380952,4.548809523809524,1.8464285714285706
Dom Eliseu,2019-10-13 00:00:00+00:00,0.015476190476190477,981.2041666666659,981.4994047619042,980.911309523809,1285.2076923076927,27.200595238095246,20.773333333333344,27.855357142857137,26.555357142857144,21.119161676646705,20.404790419161678,72.63690476190476,66.95238095238095,70.06666666666666,69.04166666666667,5.629761904761902,2.424999999999999
Dom Eliseu,2019-10-20 00:00:00+00:00,0.0,982.0214285714285,982.2976190476187,981.7315476190475,1358.2377777777776,27.261904761904773,21.186956521739134,27.933928571428574,26.663690476190474,21.490303030303036,20.75454545454546,74.0060606060606,68.33939393939394,71.77018633540372,78.78571428571429,5.103571428571429,2.145833333333334
Dom Eliseu,2019-10-27 00:00:00+00:00,0.02023809523809524,981.4708333333332,981.7648809523811,981.1815476190475,1283.4868131868127,26.914880952380948,21.280246913580257,27.61964285714286,26.299404761904754,21.73312883435583,20.869938650306747,76.6969696969697,70.55757575757576,73.98765432098766,124.80357142857143,4.329166666666666,1.7255952380952375
Dom Eliseu,2019-11-03 00:00:00+00:00,0.019047619047619046,980.7833333333332,981.0630952380956,980.4964285714284,1398.8439560439563,27.47976190476191,20.794409937888204,28.235714285714284,26.870238095238093,21.136144578313257,20.389759036144575,71.41071428571429,65.52380952380952,69.28571428571429,101.92857142857143,4.913095238095241,2.0041666666666664
Dom Eliseu,2019-11-10 00:00:00+00:00,0.013095238095238096,980.4297619047621,980.7303571428571,980.1214285714291,1205.2706521739128,26.99880952380951,21.606832298136652,27.618452380952373,26.426190476190488,21.973780487804873,21.23719512195123,77.10240963855422,71.25301204819277,74.77018633540372,96.56547619047619,4.673214285714285,1.9029761904761902
Dom Eliseu,2019-11-17 00:00:00+00:00,0.0,979.6827380952385,979.9642857142859,979.4059523809528,1198.4681318681314,27.14166666666665,21.431645569620265,27.785714285714274,26.58333333333334,21.74484848484849,21.073333333333334,75.09036144578313,69.89156626506023,73.26582278481013,90.9047619047619,4.421428571428572,1.8690476190476193
Dom Eliseu,2019-11-24 00:00:00+00:00,0.4333333333333333,981.0714285714284,981.3845238095237,980.7613095238097,1270.6720430107525,26.283928571428575,21.9140243902439,26.919642857142858,25.73392857142856,22.378181818181815,21.44303030303031,81.87349397590361,75.6566265060241,79.1280487804878,141.07142857142858,4.129761904761905,1.5089285714285712
Dom Eliseu,2019-12-01 00:00:00+00:00,0.0011904761904761906,980.6220238095239,980.8815476190479,980.344642857143,1289.4763440860218,27.769642857142863,21.87423312883437,28.423809523809528,27.2077380952381,22.335757575757583,21.499393939393954,75.01212121212122,69.18787878787879,72.07361963190183,79.11904761904762,4.789880952380952,2.011904761904762
Dom Eliseu,2019-12-08 00:00:00+00:00,0.055952380952380955,981.3190476190476,981.5916666666666,981.0446428571427,1282.6197916666665,27.39464285714286,21.387195121951216,28.039880952380962,26.804761904761914,21.840123456790128,20.985185185185195,74.56024096385542,68.60843373493977,71.71341463414635,80.26785714285714,4.54583333333333,1.8827380952380952
Dom Eliseu,2019-12-15 00:00:00+00:00,0.04047619047619048,980.5541666666667,980.8505952380953,980.260714285714,1193.0747368421048,26.708333333333343,21.76524390243901,27.39880952380953,26.164880952380962,22.12215568862276,21.316167664670647,78.58083832335329,72.64670658682634,76.29268292682927,102.05952380952381,4.722023809523808,1.980357142857144
Dom Eliseu,2019-12-22 00:00:00+00:00,0.04523809523809524,980.4000000000001,980.7083333333335,980.0952380952383,1277.6936842105265,27.354166666666682,22.19119496855346,28.008928571428587,26.724404761904772,22.63024691358024,21.747530864197536,78.53048780487805,72.01829268292683,75.58490566037736,75.10714285714286,5.238690476190477,2.1488095238095233
Dom Eliseu,2019-12-29 00:00:00+00:00,0.07261904761904761,980.4291666666669,980.7297619047623,980.126190476191,1159.979787234043,27.30654761904762,22.5644171779141,27.944047619047616,26.786309523809543,22.99878787878787,22.11030303030303,79.74096385542168,73.59036144578313,77.14110429447852,121.39880952380952,4.286309523809524,1.7398809523809529
Dom Eliseu,2020-01-05 00:00:00+00:00,1.7125000000000004,980.8083333333334,981.0958333333336,980.4687500000001,996.3076923076923,24.372916666666665,22.116666666666664,24.847916666666666,23.956249999999997,22.52666666666667,21.571111111111108,90.93478260869566,86.02173913043478,88.0,131.41666666666666,4.343750000000001,1.7583333333333329
MINA DO PALITO,2019-01-06 00:00:00+00:00,,,,,,,,,,,,,,,,,
MINA DO PALITO,2019-01-13 00:00:00+00:00,,,,,,,,,,,,,,,,,
MINA DO PALITO,2019-01-20 00:00:00+00:00,,,,,,,,,,,,,,,,,
MINA DO PALITO,2019-01-27 00:00:00+00:00,,,,,,,,,,,,,,,,,
MINA DO PALITO,2019-02-03 00:00:00+00:00,,,,,,,,,,,,,,,,,
MINA DO PALITO,2019-02-10 00:00:00+00:00,,,,,,,,,,,,,,,,,
MINA DO PALITO,2019-02-17 00:00:00+00:00,,,,,,,,,,,,,,,,,
MINA DO PALITO,2019-02-24 00:00:00+00:00,,,,,,,,,,,,,,,,,
MINA DO PALITO,2019-03-03 00:00:00+00:00,,,,,,,,,,,,,,,,,
MINA DO PALITO,2019-03-10 00:00:00+00:00,,,,,,,,,,,,,,,,,
MINA DO PALITO,2019-03-17 00:00:00+00:00,,,,,,,,,,,,,,,,,
MINA DO PALITO,2019-03-24 00:00:00+00:00,,,,,,,,,,,,,,,,,
MINA DO PALITO,2019-03-31 00:00:00+00:00,,,,,,,,,,,,,,,,,
MINA DO PALITO,2019-04-07 00:00:00+00:00,,,,,,,,,,,,,,,,,
